,aantal_cilinders,emissiecode_omschrijving,jaar,cilinderinhoud
623,4.0,2.0,2006,1757.5304606240713
624,4.0,2.0,2007,1790.305641936917
625,4.0,2.0,2008,1796.4044198895028
626,4.0,2.0,2009,1847.3500619578685
627,4.0,2.0,2010,1854.2801302931596
628,4.0,2.0,2011,1927.1811023622047
629,4.0,2.0,2012,1929.1804511278197
630,4.0,2.0,2013,1924.1575562700964
631,4.0,2.0,2014,1851.4479889042996
632,4.0,2.0,2015,1839.0720390720392
633,4.0,2.0,2016,1882.1048387096773
634,4.0,2.0,2017,1913.1648793565685
635,4.0,2.0,2018,1887.7444751381215
636,4.0,2.0,2019,1887.9251700680272
637,4.0,2.0,2020,1884.608695652174
638,4.0,2.0,2021,1856.564053537285
639,4.0,2.0,2022,1873.9274376417234
640,4.0,2.0,2023,1843.3440860215053
641,4.0,4.0,1989,2495.0
642,4.0,4.0,1991,1781.0
643,4.0,4.0,1999,1873.3181818181818
644,4.0,4.0,2000,1471.2735074019847
645,4.0,4.0,2001,1505.0194876033058
646,4.0,4.0,2002,1506.2168354640544
647,4.0,4.0,2003,1551.0554259183525
648,4.0,4.0,2004,1533.6533747139408
649,4.0,4.0,2005,1503.2616510481405
650,4.0,4.0,2006,1573.5000934288385
651,4.0,4.0,2007,1710.2889485158478
652,4.0,4.0,2008,1821.1678492239469
653,4.0,4.0,2009,1804.6404286008653
654,4.0,4.0,2010,1770.2952434039391
655,4.0,4.0,2011,1782.2151898734178
656,4.0,4.0,2012,1795.7022471910113
657,4.0,4.0,2013,1735.9772431729518
658,4.0,4.0,2014,1641.8594116115594
659,4.0,4.0,2015,1653.816027689031
660,4.0,4.0,2016,1747.7965494791667
661,4.0,4.0,2017,1824.2394314868804
662,4.0,4.0,2018,1884.3520668834185
663,4.0,4.0,2019,1876.1203751954142
664,4.0,4.0,2020,1784.879421221865
665,4.0,4.0,2021,1825.162147505423
666,4.0,4.0,2022,1899.3233532934132
667,4.0,4.0,2023,1840.04
668,4.0,4.0,1999,1984.0
669,4.0,4.0,2000,1458.9773897751538
670,4.0,4.0,2001,1483.6085999072786
671,4.0,4.0,2002,1503.178788227746
672,4.0,4.0,2003,1513.2777265155964
673,4.0,4.0,2004,1535.4833069417712
674,4.0,4.0,2005,1580.393519036954
675,4.0,4.0,2006,1566.8993493795997
676,4.0,4.0,2007,1574.391158297177
677,4.0,4.0,2008,1547.136717239165
678,4.0,4.0,2009,1535.7006955136715
679,4.0,4.0,2010,1480.2068028681028
680,4.0,4.0,2011,1696.9050626988583
681,4.0,4.0,2012,1739.4704676728154
682,4.0,4.0,2013,1636.8281529363223
683,4.0,4.0,2014,1581.3345327336333
684,4.0,4.0,2015,1564.0815889436676
685,4.0,4.0,2016,1547.2972119936876
686,4.0,4.0,2017,1551.9459487606748
687,4.0,4.0,2018,1572.403950033761
688,4.0,4.0,2019,1586.772312835579
689,4.0,4.0,2020,1595.3419411177645
690,4.0,4.0,2021,1621.1002896207988
691,4.0,4.0,2022,1648.6212137544464
692,4.0,4.0,2023,1645.3541430192963
693,4.0,5.0,2000,1834.0
694,4.0,5.0,2002,1197.0
695,4.0,5.0,2004,2290.0
696,4.0,5.0,2006,2148.0
697,4.0,5.0,2007,2092.0
