,jaar,maand,merk,aantal,cum aantal,datum
424,1966,1,VOLKSWAGEN,10,1169,1966-01-01
425,1966,1,VOLVO,12,963,1966-01-01
426,1966,2,RENAULT,1,200,1966-02-01
427,1966,2,VOLKSWAGEN,14,1183,1966-02-01
428,1966,2,VOLVO,15,978,1966-02-01
429,1966,3,RENAULT,1,201,1966-03-01
430,1966,3,VOLKSWAGEN,23,1206,1966-03-01
431,1966,3,VOLVO,30,1008,1966-03-01
432,1966,4,BMW,1,83,1966-04-01
433,1966,4,RENAULT,3,204,1966-04-01
434,1966,4,VOLKSWAGEN,35,1241,1966-04-01
435,1966,4,VOLVO,26,1034,1966-04-01
436,1966,5,BMW,1,84,1966-05-01
437,1966,5,RENAULT,2,206,1966-05-01
438,1966,5,TOYOTA,1,17,1966-05-01
439,1966,5,VOLKSWAGEN,37,1278,1966-05-01
440,1966,5,VOLVO,29,1063,1966-05-01
441,1966,6,RENAULT,1,207,1966-06-01
442,1966,6,TOYOTA,1,18,1966-06-01
443,1966,6,VOLKSWAGEN,58,1336,1966-06-01
444,1966,6,VOLVO,34,1097,1966-06-01
445,1966,7,RENAULT,3,210,1966-07-01
446,1966,7,VOLKSWAGEN,39,1375,1966-07-01
447,1966,7,VOLVO,31,1128,1966-07-01
448,1966,8,BMW,1,85,1966-08-01
449,1966,8,RENAULT,3,213,1966-08-01
450,1966,8,VOLKSWAGEN,28,1403,1966-08-01
451,1966,8,VOLVO,27,1155,1966-08-01
452,1966,9,BMW,2,87,1966-09-01
453,1966,9,VOLKSWAGEN,33,1436,1966-09-01
454,1966,9,VOLVO,38,1193,1966-09-01
455,1966,10,BMW,1,88,1966-10-01
456,1966,10,RENAULT,1,214,1966-10-01
457,1966,10,VOLKSWAGEN,27,1463,1966-10-01
458,1966,10,VOLVO,24,1217,1966-10-01
459,1966,11,BMW,2,90,1966-11-01
460,1966,11,RENAULT,1,215,1966-11-01
461,1966,11,TOYOTA,2,20,1966-11-01
462,1966,11,VOLKSWAGEN,32,1495,1966-11-01
463,1966,11,VOLVO,46,1263,1966-11-01
464,1966,12,BMW,2,92,1966-12-01
465,1966,12,RENAULT,1,216,1966-12-01
466,1966,12,VOLKSWAGEN,27,1522,1966-12-01
467,1966,12,VOLVO,47,1310,1966-12-01
